OCR System,Age Group,Num Documents,Mean CER,Median CER,Std CER,Mean WER,Median WER,Std WER,Mean BLEU Score,Median BLEU Score,Std BLEU Score
Tesseract,1725-1749,12,0.10,0.08,0.06,0.31,0.29,0.11,0,0,0
DeepSeek,1725-1749,12,0.12,0.03,0.19,0.22,0.11,0.23,0,0,0
EasyOCR,1725-1749,12,0.24,0.21,0.16,0.47,0.40,0.19,0,0,0
OlmOCRv2,1750-1774,13,0.02,0.02,0.01,0.09,0.08,0.04,0,0,0
Kraken,1750-1774,13,0.03,0.02,0.02,0.12,0.11,0.07,0,0,0
OlmOCRv1,1750-1774,13,0.03,0.03,0.01,0.10,0.09,0.05,0,0,0
DeepSeek,1750-1774,13,0.05,0.05,0.01,0.18,0.18,0.05,0,0,0
MinerU,1750-1774,13,0.06,0.05,0.02,0.19,0.18,0.04,0,0,0
Tesseract,1750-1774,13,0.08,0.06,0.03,0.30,0.29,0.07,0,0,0
EasyOCR,1750-1774,13,0.19,0.20,0.06,0.47,0.43,0.13,0,0,0
OlmOCRv1,1775-1799,14,0.03,0.02,0.02,0.09,0.07,0.04,0,0,0
OlmOCRv2,1775-1799,14,0.03,0.02,0.02,0.10,0.07,0.06,0,0,0
MinerU,1775-1799,14,0.06,0.05,0.05,0.19,0.18,0.08,0,0,0
Tesseract,1775-1799,14,0.07,0.05,0.07,0.29,0.22,0.18,0,0,0
DeepSeek,1775-1799,14,0.09,0.03,0.21,0.63,0.10,1.87,0,0,0
Kraken,1775-1799,14,0.10,0.03,0.23,0.18,0.13,0.24,0,0,0
EasyOCR,1775-1799,14,0.16,0.17,0.06,0.39,0.41,0.11,0,0,0
OlmOCRv1,1800-1824,7,0.05,0.02,0.10,0.14,0.06,0.19,0,0,0
Kraken,1800-1824,6,0.07,0.01,0.11,0.12,0.06,0.15,0,0,0
Tesseract,1800-1824,7,0.07,0.02,0.07,0.20,0.13,0.17,0,0,0
OlmOCRv2,1800-1824,7,0.14,0.02,0.31,0.15,0.06,0.21,0,0,0
EasyOCR,1800-1824,7,0.15,0.12,0.08,0.31,0.27,0.13,0,0,0
MinerU,1800-1824,7,0.19,0.02,0.30,0.18,0.10,0.16,0,0,0
DeepSeek,1800-1824,7,0.19,0.01,0.30,0.16,0.08,0.17,0,0,0
