author,year,title,source,ocr_status
Anonymous,1682,"A Poem to her Royal Highness, upon the birth of her daughter",EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1682,A letter from Jamaica to a friend in London concerning kid-napping,EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1682,"Reflexions upon the controversy about the oath of allegiance, occasion'd by the letter in answer to",EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1682,The Art and mystery of vintners and wine-coopers containing approved directions for the conserving a,EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1682,The English midwife enlarged containing directions to midwives; wherein is laid down whatever is mos,EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1682,"The Triumphant weaver, or, The art of weaving discuss'd and handled plainly shewing the various opin",EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1683,Remarks on trade in a dialogue between a committee-man and an interloper.,EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1683,"The Voyages of the ever renowned Sr. Francis Drake into the West Indies viz., his great adventures f",EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1683,The present state of Jamaica with the life of the great Columbus the first discoverer  to which is,EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1684,A strange and horrible murther committed in White-Fryers upon Mr. John Blackston who was found murth,EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1684,"Aristoteles Master-piece, or, The secrets of generation displayed in all the parts thereof ...",EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1684,Sad and dreadful news from New-England being a true relation of the barbarous cruelty lately committ,EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1684,"The Case of Samuel Hanson, merchant and planter in Barbadoes humbly offer'd and submitted to the Kin",EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1684,"The Experienced jocky, compleat horseman, or gentlemans delight containing plain and easie direction",EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1684,The voyages and adventures of Capt. Barth. Sharp and others in the South Sea being a journal of the,EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1685,"An invitation to Lubberland, with an account of the great plenty of that fruitful country. There is",EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
