Filename,OCR System,CER,WER,Char Insertions,Char Deletions,Char Substitutions,Word Insertions,Word Deletions,Word Substitutions,Total Chars,Total Words
Barham - 1717 - A letter of that curious Naturalist Mr Henry Barham_page_1_page_001.xml,EasyOCR,0.292731,0.619048,222,90,135,44,13,125,1527,294
Bishop - 1766 - Instructions and observations relative to the navigation of the windward and gulph passages_page_74_page_001.xml,EasyOCR,0.150038,0.308300,82,72,43,19,12,47,1313,253
Burroughs - 1659 - Rich Newes from Jamaica_page_4_page_001.xml,EasyOCR,0.375372,0.741379,64,204,110,8,34,87,1007,174
"Cary - 1695 - An essay on the state of England in relation to its trade, its poor, and its taxes, for carrying on_page_51_page_001.xml",EasyOCR,0.771908,0.976690,255,211,1375,3,11,405,2385,429
Child - 1690 - A discourse about trade_page_175_page_001.xml,EasyOCR,0.271429,0.690000,89,79,136,23,9,106,1120,200
Cotton - 1614 - Gods promise to his plantation_page_14_page_001.xml,EasyOCR,0.269074,0.576208,124,158,113,9,33,113,1468,269
Cowley - 1739 - A description of the windward passage and gulf of florida_page_21_page_001.xml,EasyOCR,0.206544,0.414449,124,116,63,29,16,64,1467,263
"Davison - 1621 - Dauisons poems, or, A poeticall rapsodie Deuided into sixe bookes. The first, contayning poems and d_page_73_page_001.xml",EasyOCR,0.738303,0.969529,257,252,927,0,30,320,1945,361
Dirom - 1783 - Thoughts on the state of the militia of jamaica_page_20_page_001.xml,EasyOCR,0.132308,0.362832,39,23,24,11,5,25,650,113
"Edwards - 1798 - The history, civil and commercial, of the British colonies in the West Indies_page_211_page_001.xml",EasyOCR,0.201420,0.437500,227,18,67,57,2,60,1549,272
F. M. - 1634 - Wits Common Wealth The Second Part_page_198_page_001.xml,EasyOCR,0.748225,0.940828,131,216,1023,3,65,250,1831,338
"Fawconer - 1774 - The Sporting Calendar, containing an account of the plates, matches, andf sweepstakes_page_182_page_001.xml",EasyOCR,0.344611,0.751037,169,113,156,54,20,107,1271,241
Feltham - 1803 - A popular view of the structure and economy of the human body_page_230_page_001.xml,EasyOCR,0.122080,0.181818,76,75,11,16,12,16,1327,242
Fox - 1800 - An address to the people of Great Britain on the propriety of abstaining from West India Sugar and Rum_page_5_page_001.xml,EasyOCR,0.240498,0.587108,351,153,268,65,42,230,3210,574
Gadbury - 1672 - The Jamaica Almanack_page_4_page_001.xml,EasyOCR,0.645780,0.898734,357,352,806,44,39,272,2346,395
Gisborne - 1792 - On slavery and the slave trade_page_1_page_001.xml,EasyOCR,0.168625,0.503817,56,59,129,12,9,111,1447,262
Hamilton - 1718 - An answer to an Anonymous Libel_page_48_page_001.xml,EasyOCR,0.166949,0.362385,62,65,70,13,12,54,1180,218
Harris - 1691 - Remarks on the affairs and trade of England and Ireland_page_45_page_001.xml,EasyOCR,0.216082,0.483235,343,85,182,75,16,154,2823,507
Hayne - 1685 - An abstract of all the statutes made concerning aliens trading in England from the first-year of K._page_12_page_001.xml,EasyOCR,0.756330,0.950474,412,508,2963,2,60,840,5134,949
Hickeringill - 1705 - Jamaica Viewed_page_28_page_001.xml,EasyOCR,0.272941,0.611607,90,99,159,15,8,114,1275,224
Hughes - 1750 - The Natural History of Barbados in Ten Books_page_211_page_001.xml,EasyOCR,0.215361,0.425150,181,167,81,35,21,86,1992,334
"Ingram - 1744 - An essay, on the nature, cause, and seat of dysentery's, in a letter to Dr. Henry Warren of Barbados_page_35_page_001.xml",EasyOCR,0.121419,0.280303,29,30,30,5,6,26,733,132
Janssen - 1713 - General Maxims in Trade_page_26_page_001.xml,EasyOCR,0.191781,0.399281,136,102,42,27,22,62,1460,278
"Kent - 1687 - A choice manual, or Rare secrets in physick and chirurgery collected, & practised by the Right Hono_page_106_page_001.xml",EasyOCR,0.721922,0.914089,146,172,884,3,18,245,1665,291
